
;;;Max_iterations25
;;;Neighborhood: 10
;;;Start temperature: 0.100000
;;;Temperature 0: 0.100000
;;;Alpha : 0.998700

current;best
1549.982926;1390.050557
1606.498242;1390.050557
1581.413744;1390.050557
1508.102428;1390.050557
1725.856435;1390.050557
1549.713950;1390.050557
1614.415561;1390.050557
1698.385436;1390.050557
1536.489599;1390.050557
1532.964111;1390.050557
1553.121975;1390.050557
1429.450916;1390.050557
1718.599646;1390.050557
1682.101175;1390.050557
1550.121332;1390.050557
1569.012734;1390.050557
1648.386729;1390.050557
1692.444120;1390.050557
1649.734164;1390.050557
1558.003582;1390.050557
1678.700870;1390.050557
1744.230716;1390.050557
1554.933900;1390.050557
1861.575019;1390.050557
1586.134137;1390.050557
1580.336762;1390.050557
1651.576857;1390.050557
1623.227368;1390.050557
1513.500103;1390.050557
1635.776585;1390.050557
1624.505484;1390.050557
1470.325421;1390.050557
1595.600105;1390.050557
1522.529320;1390.050557
1538.581406;1390.050557
1548.211612;1390.050557
1543.809051;1390.050557
1649.622712;1390.050557
1653.851319;1390.050557
1635.555018;1390.050557
1525.714895;1390.050557
1567.601645;1390.050557
1462.182476;1390.050557
1604.607010;1390.050557
1569.400474;1390.050557
1666.395934;1390.050557
1568.618169;1390.050557
1652.199803;1390.050557
1562.801235;1390.050557
1529.986127;1390.050557
1507.236555;1390.050557
1537.543836;1390.050557
1599.657403;1390.050557
1672.171169;1390.050557
1669.554946;1390.050557
1415.587973;1390.050557
1567.094130;1390.050557
1760.250484;1390.050557
1510.058477;1390.050557
1552.251955;1390.050557
1600.896619;1390.050557
1675.540039;1390.050557
1550.275663;1390.050557
1534.101254;1390.050557
1733.594607;1390.050557
1672.495822;1390.050557
1556.763674;1390.050557
1724.274294;1390.050557
1616.799437;1390.050557
1631.455884;1390.050557
1638.847802;1390.050557
1504.885729;1390.050557
1499.980265;1390.050557
1469.179664;1390.050557
1474.248367;1390.050557
1545.486978;1390.050557
1500.864750;1390.050557
1549.343570;1390.050557
1622.258978;1390.050557
1643.790447;1390.050557
1558.298077;1390.050557
1547.671050;1390.050557
1619.664520;1390.050557
1541.062770;1390.050557
1666.267606;1390.050557
1677.092984;1390.050557
1609.837708;1390.050557
1601.405400;1390.050557
1611.216887;1390.050557
1552.001349;1390.050557
1513.453465;1390.050557
1704.479701;1390.050557
1624.205486;1390.050557
1633.686862;1390.050557
1573.836744;1390.050557
1651.740048;1390.050557
1603.969934;1390.050557
1533.594090;1390.050557
1690.764268;1390.050557
1523.764605;1390.050557
1521.042224;1390.050557
1697.336750;1390.050557
1607.138527;1390.050557
1609.402621;1390.050557
1660.890218;1390.050557
1633.933493;1390.050557
1612.757116;1390.050557
1590.113134;1390.050557
1562.459073;1390.050557
1571.790813;1390.050557
1502.179711;1385.318059
1548.414298;1385.318059
1676.856858;1385.318059
1586.061377;1385.318059
1672.307374;1385.318059
1554.348015;1385.318059
1627.133932;1385.318059
1661.765543;1385.318059
1601.424425;1385.318059
1566.683641;1385.318059
1626.734525;1385.318059
1579.825145;1385.318059
1593.405835;1385.318059
1558.907454;1385.318059
1501.289088;1385.318059
1717.694914;1385.318059
1628.277266;1385.318059
1552.230590;1385.318059
1607.250249;1385.318059
1646.207116;1385.318059
1712.890435;1385.318059
1713.796821;1385.318059
1618.701597;1385.318059
1553.867373;1385.318059
1664.215349;1385.318059
1696.382100;1385.318059
1588.909445;1385.318059
1604.867319;1385.318059
1633.407016;1385.318059
1682.735127;1385.318059
1651.068220;1385.318059
1686.196966;1385.318059
1546.262139;1385.318059
1588.642420;1385.318059
1756.154869;1385.318059
1651.837234;1385.318059
1641.164260;1385.318059
1613.311391;1385.318059
1562.331295;1385.318059
1483.434449;1385.318059
1541.453199;1385.318059
1561.699300;1385.318059
1555.743279;1385.318059
1552.993400;1385.318059
1616.160524;1385.318059
1580.529621;1385.318059
1732.162409;1385.318059
1563.723086;1385.318059
1579.417771;1385.318059
1646.795032;1385.318059
1635.110779;1385.318059
1613.618075;1385.318059
1492.346819;1385.318059
1545.548166;1385.318059
1485.090038;1385.318059
1572.293011;1385.318059
1549.102611;1385.318059
1654.062409;1385.318059
1477.908164;1385.318059
1575.186426;1385.318059
1649.365316;1385.318059
1606.241050;1385.318059
1492.118932;1385.318059
1531.673252;1385.318059
1546.515298;1385.318059
1689.908019;1385.318059
1677.279208;1385.318059
1614.768229;1385.318059
1643.554525;1385.318059
1611.288036;1385.318059
1593.093716;1385.318059
1512.571768;1385.318059
1517.670678;1385.318059
1455.528344;1385.318059
1685.357070;1385.318059
1735.901983;1385.318059
1478.826420;1385.318059
